Codigo Barra;Codigo Pieza;Especificacion;Descripcion;Repuesto;Procedencia;Marca;Unidad;Medida;Precio Venta
6.180;MD-021172;;ENGRANAJE BALANCEADOR MIT.G54B/4G54;OSK;JAPON;MITSUBISHI;PZA;17DTS;0,00
6.181;MD-026430-STD;R113A/CB-1131;CASQ.BIELA MIT.4G54/4D55/4D56;TAHIO/NDC*;JAPON;MITSUBISHI;JGO;STD                        R113A/CB-1131  MD026430;74,55
6.182;MD-025509;48L;CADENA DIST.B/ACEITE MIT.4G54  48S. SENCILLO P/CHICO;EK;JAPON;MITSUBISHI;PZA;48S P/CHICO;0,00
6.183;12010-56T12-STD-ALF;;PISTON NIS.ED35  102.5MM  3x2x4  ALFIN   RECTO;IZUMI;JAPON;NISSAN;JGO;STD-IZ-ALFIN;0,00
6.184;13715-37030-TUF;ETY-5635/TB-147-0T;VALVULA EX TOY.1ZR/2ZR COROLLA 06-  4PZA-JGO;DOK/ROCKY;JAPON;TOYOTA;JGO;5.5x27.5x108                ETY-5635/TB-147-0T;0,00
6.185;13028-AD202 NO PEDIR;06BE-2 94L;CADENA DIST.NIS.YD22ETI/YD25DDTI  94D. DOBLE;EK;JAPON;NISSAN;PZA;94D   DOBLE;0,00
6.186;MD-026430-025;R113A/CB-1131;CASQ.BIELA MIT.4G54/4D55/4D56;TAHIO/NDC*;JAPON;MITSUBISHI;JGO;025                        R113A/CB-1131;84,49
6.187;MD-026430-050;R113A/CB-1131;CASQ.BIELA MIT.4G54/4D55/4D56;TAHIO/NDC*;JAPON;MITSUBISHI;JGO;050                       R113A/CB-1131;100,95
6.188;MD-026430-075;R113A/CB-1131;CASQ.BIELA MIT.4G54/4D55/4D56;TAHIO/NDC*;JAPON;MITSUBISHI;JGO;075                       R113A/CB-1131;108,72
6.189;MD-026430-1.00;R113A/CB-1131;CASQ.BIELA MIT.4G54/4D55/4D56;TAHIO/NDC*;JAPON;MITSUBISHI;JGO;0.100                      R113A/CB-1131;0,00
6.190;13028-AD20A;64L;CADENA DIST.NIS.YD22ETI/YD25DDTI/T30/X-TRAIL  64S P/CHICO SENC.;DID;JAPON;NISSAN;PZA;64S                      64L;0,00
6.191;MD-026654-J;;EMPAQUE CULATA MIT.G54B/4G54/2.6  MONTERO;KGK;JAPON;MITSUBISHI;PZA;;0,00
6.192;15010-0T000;YSK-NS1382;BOMBA ACEITE NIS.FD46/FD42/H41  92-;YSK;JP;NISSAN;PZA;;0,00
6.193;MD-026815-025;M118A1;CASQ.BANCADA MIT.4G54;TAHIO/NDC;JAPON;MITSUBISHI;JGO;025                     M118A1;0,00
6.194;343.408;;AMORTIGUADOR TRAS.R/L MIT.MONTERO-IO 99- O/O;KYB/ROJO;JAPON;MITSUBISHI;PZA;560xO/O/M/A/M/D   343408;0,00
6.195;MD-026815-050;M118A1;CASQ.BANCADA MIT.4G54;TAHIO/NDC;JAPON;MITSUBISHI;JGO;050                     M118A1;0,00
6.196;MD-026815-075;M118A1;CASQ.BANCADA MIT.4G54;TAHIO/NDC;JAPON;MITSUBISHI;JGO;075                     M118A1;0,00
6.197;MD-026815-1.00;M118A1;CASQ.BANCADA MIT.4G54;TAHIO/NDC;JAPON;MITSUBISHI;JGO;0-100                 M118A1;0,00
6.198;48820-28050;SL-3750-M;ESTABILIZADOR DEL.TOY.CAMRY 01- Z;555;JAPON;TOYOTA;PZA;12x12x290xZ   SL-3750-M;0,00
6.199;MD-026815-STD;M118A1/M7275A;CASQ.BANCADA MIT.4G54;TAHIO/NDC/DAI;JAPON;MITSUBISHI;JGO;STD                              M118A1/M7275A;0,00
6.200;MD-026835-025;SWM31047-NPR;ANILLAS MIT.4G54 OLD 91.1MM 2X2X4;NPR;JAPON;MITSUBISHI;JGO;025-SWM31047-NPR;0,00
6.201;MD-026835-050;SWM31047-NPR;ANILLAS MIT.4G54 OLD 91.1MM 2X2X4;NPR;JAPON;MITSUBISHI;JGO;050-SWM31047-NPR;0,00
6.202;13711-37020-TUF;ITY-0635;VALVULA IN  TOY.1ZR/2ZR COROLLA 06-  4PZA-JGO;DOKURO;JAPON;TOYOTA;JGO;5.5x32x109         ITY-0635;0,00
6.203;MD-026835-075;SWM31047-NPR;ANILLAS MIT.4G54 OLD 91.1MM 2X2X4;NPR;JAPON;MITSUBISHI;JGO;075-SWM31047-NPR;0,00
6.204;T031K-TW;SOLO DISTRI C/GRANDE;KIT DISTRIBUCION CAD.TOY.1AZ/2AZ/RAV4   134S. SENC.;HASAKI;TW;TOYOTA;JGO;134S INCOMPLETO;0,00
6.205;MD-026835-STD;SWM31047-NPR;ANILLAS MIT.4G54 OLD 91.1MM 2X2X4;NPR;JAPON;MITSUBISHI;JGO;STD-SWM31047-NPR;0,00
6.206;MD-026921-025;;PISTON MIT.4G54    91.1MM   2X2X4;IZUMI/NPC/TOTO/TEI;JAPON;MITSUBISHI;JGO;25;0,00
6.207;MD-026921-050;M911F;PISTON MIT.4G54    91.1MM   2X2X4;NPC/TOTO;JAPON;MITSUBISHI;JGO;050                       M911F;0,00
6.208;13070-6N20A;TB-45;TESADOR CADENA NIS.QR20/QR25DE/T30/T31/B16 SENTRA METAL;ZUIKO/OKS;JAPON;NISSAN;PZA;TB-45;0,00
6.209;MD-026921-075;M911F;PISTON MIT.4G54    91.1MM   2X2X4;TOTO;JAPON;MITSUBISHI;JGO;075                       M911F;0,00
6.210;MD-026921-STD;;PISTON MIT.4G54    91.1MM   2X2X4;IZUMI/TOTO;JAPON;MITSUBISHI;JGO;STD;0,00
6.211;8ABB-15010A;GWMZ-39A;BOMBA AGUA MAZ.B6/323  91-;GMB/NPW/B/A;JAPON;MAZDA;PZA;GWMZ-39A;0,00
6.212;ME-029225-STD;C117L;CASQ.EJE/LEVAS MIT.4D30/4D31/4D32  CANTER   82-  (OLD);DAIDO/TAHIO;JAPON;MITSUBISHI;JGO;STD                      C117L/C628W;0,00
6.213;MD-030282-T;;EMPAQUE TAPA VALANCIN MIT.G11/G13/G15/4G13/4G15   8V.;TOWA;TW.;MITSUBISHI;PZA;;0,00
6.214;ME-200022-075;M133H/MS-1832;CASQ.BANCADA MIT.4M40;TAHIO/NDC;JAPON;MITSUBISHI;JGO;075                       M133H/MS-1832;285,00
6.215;MD-030516-025;R119A;CASQ.BIELA MIT.G13/G15/4G13/4G15   (OLD);TAHIO/NDC;JAPON;MITSUBISHI;JGO;025                       R119A;105,17
6.216;MD-030516-050;R119A;CASQ.BIELA MIT.G13/G15/4G13/4G15   (OLD);TAHIO/NDC;JAPON;MITSUBISHI;JGO;050                       R119A;94,96
6.217;MD-030516-075;R119A;CASQ.BIELA MIT.G13/G15/4G13/4G15   (OLD);TAHIO/NDC;JAPON;MITSUBISHI;JGO;075                       R119A;0,00
6.218;MD-030516-1.00;R119A;CASQ.BIELA MIT.G13/G15/4G13/4G15   (OLD);TAHIO/NDC;JAPON;MITSUBISHI;JGO;0-100                    R119A;0,00
6.219;MD-030516-STD;R119A;CASQ.BIELA MIT.G13/G15/4G13/4G15   (OLD);TAHIO/NDC;JAPON;MITSUBISHI;JGO;STD                       R119A;81,65
6.220;ME-200022-1.00;M133H/MS-1832;CASQ.BANCADA MIT.4M40;TAHIO/NDC;JAPON;MITSUBISHI;JGO;0.100                    M133H/MS-1832;0,00
6.221;MD-300470;A611RU100;CORREA DIST.163D MIT.4D56/4D55 REDONDO;SUN;JAPON;MITSUBISHI;PZA;163Dx25-SUNxREDONDO  A611RU100;0,00
6.222;37125-EB51A;;CRUCETA NIS.VQ40/D40NAVARA/PATHFINDER 05- 4WD S/EXT.;TOYO;JAPON;NISSAN;PZA;27x92.5xS/EXT;0,00
6.223;21010-Z5518-T;KN-78W  ok*;BOMBA AGUA NIS.FE6-T/12V.CONDOR  P/MEDIANO LARGO 1SAL S/RETORNO 0k*;NNC*;JP;NISSAN;PZA;63x87x9PERxP/MxLARGO;0,00
6.224;11070-Z5513-O;TUBE DE TOBERA;BASTAGO HIDR.NIS.FE6 /FD6   NEW-;MASTER;JP;NISSAN;PZA;;0,00
6.225;MD-030573-STD;M119A/MS-1818/MS-1169;CASQ.BANCADA MIT.4G13/4G15;TAHIO/NDC*;JAPON;MITSUBISHI;JGO;M119A/MS-1818/MS-1169;0,00
6.226;40202-OZ000-T;TH02502 llega con rodamas;MASERO CUBO RUEDA BASE DEL.NIS.ALMERA;JOMO;TW;NISSAN;PZA;4PERx92.5x126;0,00
6.227;MD-030605;TBK-60-209+JF201;RODAMIENTO TESADOR MIT.4G12/G13B/4G13   8V.  81-83;MRK/NTN;JAPON;MITSUBISHI;PZA;60x26   TBK-60-209+JF201;0,00
6.228;13231-Z5002-O;TUBE DE TOBERA;BASTAGO HIDR.NIS.FE6 /FD6   OLD;MASTER;JP;NISSAN;PZA;20x33x55;0,00
6.229;90364-19064;BN501903 (16VP2126);RODAMIENTO CANASTILLO CAJA DIF.TOY.LN40/HILUX;KOYO;JAPON;TOYOTA;PZA;17.5x21x26              BN501903 (16VP2126);0,00
6.230;40202-CA010;;RODAMIENTO MASERO RUEDA HUB DEL.NIS.MURANO/QUEST/ALTIMA  03-07-;SAIKO;KOREA;NISSAN;PZA;29DTSx119x119x5PERx99x120.5;0,00
6.231;MD-040682-025;M111A2/MS-1821/MS-1164;CASQ.BANCADA MIT.4G32/4D65/4G63 OLD C/AXIAL;TAHIO/NDC;JAPON;MITSUBISHI;JGO;025                   M111A2/MS-1821/MS-1164;0,00
6.232;11161-64010-T;;PRECAMARA TOY.1C/2C;TW;TW.;TOYOTA;PZA;;0,00
6.233;MD-040682-050;M111A2/MS-1821/MS-1164;CASQ.BANCADA MIT.4G32/4D65/4G63 OLD C/AXIAL;TAHIO/NDC;JAPON;MITSUBISHI;JGO;050                   M111A2/MS-1821/MS-1164;0,00
6.234;MD-040682-075;M111A2/MS-1821/MS-1164;CASQ.BANCADA MIT.4G32/4D65/4G63 OLD C/AXIAL;TAHIO/NDC;JAPON;MITSUBISHI;JGO;075                   M111A2/MS-1821/MS-1164;0,00
6.235;MD-040682-1.00;M111A2/MS-1821/MS-1164;CASQ.BANCADA MIT.4G32/4D65/4G63 OLD C/AXIAL;TAHIO/NDC;JAPON;MITSUBISHI;JGO;0.100                M111A2/MS-1821/MS-1164;0,00
6.236;MD-040682-STD;M111A2/MS-1821/MS-1164;CASQ.BANCADA MIT.4G32/4D65/4G63 OLD C/AXIAL;TAHIO/NDC;JAPON;MITSUBISHI;JGO;STD                   M111A2/MS-1821/MS-1164;0,00
6.237;MB-109662;;BUJE TIJERAL INF.MIT.MONTERO 90-;TE/TZK;JAPON;MITSUBISHI;PZA;18.5x40x90                 MB109662;0,00
6.238;MD-040704-025;R111A/CB-1085A;CASQ.BIELA MIT.4G30/63/4D65/4G63  OLD;TAHIO/NDC*;JAPON;MITSUBISHI;JGO;025                          R111A/CB1085A;0,00
6.239;MD-040704-050;R111A/CB-1085A;CASQ.BIELA MIT.4G30/63/4D65/4G63  OLD;TAHIO/NDC*;JAPON;MITSUBISHI;JGO;050                       R111A/CB1085A;0,00
6.240;MD-040704-075;R111A/CB-1085A;CASQ.BIELA MIT.4G30/63/4D65/4G63  OLD;TAHIO/NDC*;JAPON;MITSUBISHI;JGO;075                       R111A/CB-1085A;0,00
6.241;MD-040704-1.00;R111A/CB-1085A;CASQ.BIELA MIT.4G30/63/4D65/4G63  OLD;TAHIO/NDC*;JAPON;MITSUBISHI;JGO;0-100                    R111A/CB-1085A;0,00
6.242;11115-58110-MT;;EMPAQUE CULATA TOY.3B/13B-T   84-88   (METAL);KAN/LAN/TOW/NGC/NPC;TW;TOYOTA;PZA;;0,00
6.243;MD-040704-STD;R111A/CB-1085A;CASQ.BIELA MIT.4G30/63/4D65/4G63  OLD;TAHIO/NDC*;JAPON;MITSUBISHI;JGO;STD                         R111A/CB-1085A;0,00
6.244;8-94229-3880-E;ISD117U/IS;DISCO EMBRAGUE ISU.4ZD1/4ZA1/4JA1;EXEDY/D;JAPON;ISUZU;PZA;215x150x24x25.6  ISD117U/DG-017;396,61
6.245;MD-041280;MP-768;BOMBA GASOLINA MIT.4G13/4G15/G15/4G63/G63 MIRAGE  8V.83-86-;KYOSAN;JAPON;MITSUBISHI;PZA;MP-768;0,00
6.246;MD-194157-STD;;PISTON MIT.4D68T    TURBO   S/C    2RAN.;IZUMI;IZUMI;MITSUBISHI;JGO;STD;0,00
6.247;45046-29325;SE-3681;TERMINAL DIREC.TOY.HIACE  CREM. 95-03 NEW R/INT.;555;JAPON;TOYOTA;PZA;15x15x144.5R/INT   SE-3681;0,00
6.248;11191-22010-T;;TUBIN BUJIA TOY.3K/4K/5K/7K/2Y/3Y/4Y;CK;TW.;TOYOTA;PZA;Compl.Mas Reten;0,00
6.249;MD-050009;P113H/PB-1802;BUJE BIELA MIT.4D55/4D56;TAHIO/NDC;JAPON;MITSUBISHI;JGO;STDx29x32          P113H/PB-1802;0,00
6.250;11191-22010-G;;TUBIN BUJIA TOY.3K/4K/5K/7K/2Y/3Y/4Y;GENUINO/T;JAPON;TOYOTA;PZA;;50,63
6.251;MD-050011-050;;PISTON MIT.4D55T/4D56T S/C TREBOL ANCHO  95-;IZUMI;JAPON;MITSUBISHI;JGO;50;0,00
6.252;MD-050011-STD-ALF;MD-182601/7;PISTON MIT.4D55T/4D56T S/C  ALFIN TREBOL ANCHO  95-  PAS.29MM;IZUMI;JAPON;MITSUBISHI;JGO;STD-ALF;0,00
6.253;45046-29325-T;SE-3681;TERMINAL DIREC.TOY.HIACE  CREM. 95-03 NEW R/INT.;S/M;TW;TOYOTA;PZA;15x15x144.5R/INT   SE-3681;0,00
6.254;MD-050011-025;;PISTON MIT.4D55T/4D56T S/C TREBOL ANCHO  95-;IZUMI;JAPON;MITSUBISHI;JGO;25;0,00
6.255;MD-050011-STD;MD103308;PISTON MIT.4D55T/4D56T S/C TREBOL ANCHO  95-;IZUMI;JAPON;MITSUBISHI;JGO;STD;0,00
6.256;B301-15-510A;CBU472921C;RODAMIENTO DESPLAZADOR MAZ.323    s/chico;KOYO;JAPON;MAZDA;PZA;29x57x21x35 Seguro chico          CBU472921C;0,00
6.257;MD-050119;83ZBS19/A311M075;CORREA DIST.83D MIT.4D55/4D56  83-93 B/ACEITE;MIT/SUN;JAPON;MITSUBISHI;PZA;83D                          83ZBS19/A311M075;90,70
6.258;MD-050130;A611M100;CORREA DIST.163D MIT.4D55/4D56 0k*;SUN;JAPON;MITSUBISHI;PZA;163Dx25-SUN-0k*      A611M100;0,00
6.259;MD-050135;60TB039B09/60TBK039;RODAMIENTO TESADOR HYUN.MIT.4D55/4D56  GRANDE;NSK/NTN/MRK*;JAPON;MITSUBISHI;PZA;60x34                       60TB039B09;316,31
6.260;MD-050212;PM-75;PRECALENTADOR MIT.4D55/4D56/TD23/TD27 12V.;HKT;JAPON;MITSUBISHI;PZA;PM-75/PN-135;52,91
6.261;22114-42900;;GUIA VALV.IN.MIT.4D55/4D56/H100 NEGRO;NPC;JAPON;HYUNDAI;PZA;8x13x71;0,00
6.262;MD-050293/94;;JGO.ENGRANAJE BOMBA ACEITE MIT.4D55/4D56 10MM  OLD  (2PZ)   ENG/MEND.;TZK;JAPON;MITSUBISHI;JGO;OLD;0,00
6.263;MD-050312-T;22441-42000;EMPAQUE TAPA VALANCIN MIT.4D55/4D56;NGC:ERISTIC;TW.;MITSUBISHI;PZA;;0,00
6.264;45503-29565-T;SR-3680;ROTULA CREMALLERA TOY.2L HIACE 95-03;TOMITA;TW.;TOYOTA;PZA;14x15N/Nx290x60;0,00
6.265;MD-050360-025;M113A3/MS-1131;CASQ.BANCADA MIT.4D55/4D56;TAHIO/NDC;JAPON;MITSUBISHI;JGO;025                             M113A3/MS-1131;209,67
6.266;MB-584601;F4160/39x52x6x11.5;RETEN RUEDA TRAS.MIT.4G13/4G15 LANCER 83-92;MUSASHI*;JAPON;MITSUBISHI;PZA;39x52x6x11.5            F4160;0,00
6.267;MD-050360-050;M113A3/MS-1131;CASQ.BANCADA MIT.4D55/4D56;TAHIO/NDC;JAPON;MITSUBISHI;JGO;050                     M113A3/MS-1131;209,67
6.268;MD-050360-075;M113A3/MS-1131;CASQ.BANCADA MIT.4D55/4D56;TAHIO/NDC;JAPON;MITSUBISHI;JGO;075                      M113A3/MS-1131;269,13
6.269;MD-050360-STD;M113A3/MS-1131;CASQ.BANCADA MIT.4D55/4D56;TAHIO/NDC;JAPON;MITSUBISHI;JGO;STD                     M113A3/MS-1131;193,52
6.270;11193-25012;;RETEN BUJIA TOY.2T/3T/12T/13T   (4pz-jgo)    KIT.;TOWA;TW.;TOYOTA;JGO;KIT;0,00
6.271;MD-050390-025;SDM31038/20503;ANILLAS MIT.4D55T/4D56T  91.1MM  S/C  2.5x2x4;NPR/RIK;JAPON;MITSUBISHI;JGO;025                      SDM31038/20503;0,00
6.272;MD-050390-050;SDM31038;ANILLAS MIT.4D55T/4D56T  91.1MM  S/C  2.5x2x4;NPR;JAPON;MITSUBISHI;JGO;050                          SDM31038;0,00
6.273;MD-050390-050-RIK;20.503;ANILLAS MIT.4D55T/4D56T  91.1MM  S/C  2.5x2x4;RIK;JAPON;MITSUBISHI;JGO;050                         20503;0,00
6.274;MD-050390-075;SDM31038/33862-2FAC/20503;ANILLAS MIT.4D55T/4D56T  91.1MM  S/C  2.5x2x4;NPR/RIK/TP;JAPON;MITSUBISHI;JGO;075                      SDM31038/33862-2FAC/20503;0,00
6.275;MD-050390-STD;SDM31038/33862-2FAC/20503;ANILLAS MIT.4D55T/4D56T  91.1MM  S/C  2.5x2x4;NPR/RIK/TP;JAPON;MITSUBISHI;JGO;STD                   SDM31038/33862-2F/20503;0,00
6.276;MD-050395-025;20.215;ANILLAS MIT.4D55/4D56  91.1MM  RECTO  2.5x2x4;RIK;JAPON;MITSUBISHI;JGO;025                   20215               20215;0,00
6.277;MD-050395-STD;SDM31055/20215;ANILLAS MIT.4D55/4D56  91.1MM  RECTO  2.5x2x4;NPR/RIK;JAPON;MITSUBISHI;JGO.;STD                   SDM31055/20215;0,00
6.278;MD-050430-F/F;;CAMISA MIT.4D55/4D56/4G54/6G72/6G74/VG33  91.1MM  F/F S/S;IZUMI;JAPON;MITSUBISHI;JGO;91.1x94x165 F/F  91.1MM;0,00
6.279;LINER-4D55-S/F-SUELTO;LINER-4D55;CAMISA MIT.4D55/4D56/4G54/6G72/6G74/VG33  91.1MM  S/F S/S SUELTO;IZUMI;JAPON;MITSUBISHI;PZA;89x94x165 S/F  91.1MM;0,00
6.280;LINER-4D55-S/F;MD-050430-S/F-JP;CAMISA MIT.4D55/4D56/4G54/6G72/6G74/VG33  91.1MM  S/F S/S;IZUMI*;JAPON;MITSUBISHI;JGO;89x94x165 S/F  91.1MM;0,00
6.281;MD-050450;M-37/GWM-32A;BOMBA AGUA HYUN.MIT.4D55/4D56/2.3 S/TURBO 2PER.;GMB/NPW/B/A;JAPON;MITSUBISHI;PZA;M-37/GWM-32A;370,70
6.282;MD-050471;214-2615/MB2381/MD050475;ASPA VENTILADOR MIT.4D55/4D56/4M40/H100/D4BA/L200 87-B/ALTO 0k***;HT;TW.;MITSUBISHI;PZA;101x145.5x8ALETASxB/ALTO;0,00
6.283;MD-050472;M-37F;AUTOMATICO VENTILADOR MIT.4D55/4D56;NPW/SHIMA;JAPON;MITSUBISHI;PZA;24x46.5x63x115x160  M-37F;477,28
6.284;MD-050482;;EMPAQUE MULTIPLE MIT.4D55T/4D56T  86-;LANSTAR;TW.;MITSUBISHI;PZA;;0,00
6.285;11210-2S710-T;11210-2S711;SOPORTE MOTOR RH NIS.QD32/D21 ALTO 97-00 C/ALETA;TH;TW.;NISSAN;PZA;11210-2S711;0,00
6.286;MD-050523;MD-050527 EX;GUIA VALV.IN.MIT.4D55/4D56/H100   CR         4M51;DOKURO;JAPON;MITSUBISHI;PZA;8x13x74;0,00
6.287;A-25163;A-25163/SRA PCV/TY008;GUARDAPOLVO TRICETA CAPUCHON INT.TOY.VIGO/HILUX C/3/E  ok*;TW/NN;TW;TOYOTA;PZA;A-25163;0,00
6.288;48654-60040;;BUJE TIJERAL INF.TOY.URJ201/GRJ/UZJ200 LEXUS 10- CHICO;TE/TZK/B;JAPON;TOYOTA;PZA;48654-60040;0,00
6.289;48655-60010;;BUJE TIJERAL INF.TOY.FZJ/HDJ100;TE/TZK/B;JAPON;TOYOTA;PZA;48655-60010;0,00
6.290;11210-35G00-TH;43G00/18G01;SOPORTE MOTOR DEL.RH NIS.Z24/KA24/D21/4WD 86-97 ok*;TH;TW.;NISSAN;PZA;RH  ok*                   11210-43G00;0,00
6.291;LM67048/10;LM67048/10;RODAMIENTO RUEDA TRAS.TOY.3E/3S NOAH  (GRANDE)   92-;NSK;JAPON;TOYOTA;PZA;32x59x12x17           LM67048/10;0,00
6.292;MD-071206-025;20.245;ANILLAS MIT.4D65  80.6MM  S/C  2x2x4;RIK;JAPON;MITSUBISHI;JGO;025                         20245;0,00
6.293;MD-071206-STD;20.245;ANILLAS MIT.4D65  80.6MM  S/C  2x2x4;RIK;JAPON;MITSUBISHI;JGO;STD                        20245;0,00
6.294;MD-074676-025;;PISTON MIT.G13B/4G13   8V.  (OLD);TIK;TW.;MITSUBISHI;JGO;25;0,00
6.295;11211-50Y05-T;11211-50Y00;SOPORTE MOTOR NIS.B13/SENTRA  II RH    4PER.  ok*;S/M;TW.;NISSAN;PZA;ok**;0,00
6.296;MD-074687-025;20440/33875-3F;ANILLAS MIT.G13/4G13   71MM  1.5X1.5X4  (OLD);RIK/TP;JAPON;MITSUBISHI;JGO;025                       20440/33875-3F;0,00
6.297;MD-074687-STD;20.440;ANILLAS MIT.G13/4G13   71MM  1.5X1.5X4  (OLD);RIK;JAPON;MITSUBISHI;JGO;STD                        20440;0,00
6.298;11213-10010/1;11213-10011-NGC;EMPAQUE TAPA VALANCIN TOY.2E/3E;ERISTIC:NGC/LAN/TOWA;TW.;TOYOTA;PZA;ET037;0,00
6.299;MD-027080;MP-642/MP-704/MP-686;BOMBA GASOLINA MIT.4G54   80-89;KYOSAN;JAPON;MITSUBISHI;PZA;MP-642/MP-704/MP-686;0,00
6.300;MD-074715-050;M7550;PISTON MIT.G15B /4G15   75.5MM   1.5x1.5x4  (OLD);NPC;JAPON;MITSUBISHI;JGO;50;0,00
6.301;MD-074725-075;SWM31078/20520;ANILLAS MIT.G15B/4G15  75.5MM  1.5x1.5x4 OLD;NPR/RIK;JAPON;MITSUBISHI;JGO;075                        20520;0,00
6.302;23220-0P010;GIP-505/504/503/GOP-B17;BOMBA SUMERJIBLE GAS.TOY.1GR/1TR/2TR/1NZ/2NZ/2S/05-VIGO/PROBOX/YARIS/TACOMA 05-CHICO ok*     85L/HR;HKT*/GEN*;JAPON;TOYOTA;PZA;38x54x70           GIP-505/GIP-504/GIP-503/GOP-B17;348,52
6.303;23221-31050;GIP-514/23220-31430;BOMBA SUMERJIBLE GAS.TOY.2AZ/1AZ RAV4;HKT*;JAPON;TOYOTA;PZA;38x65x107.5/GIP-514;358,77
6.304;MD-083659-TUF;EMB-5338/MB-30-0T/MIX-33T;VALVULA EX MIT.4D55/4D56  ALTO  ok*;DOK/NPC/BEN/ROCKY;JAPON;MITSUBISHI;JGO;8x34x136    EMB-5338/MB-30-0T/MIX-33T;151,59
6.305;11213-11055;THR9161 11213-11040;EMPAQUE TAPA VALANCIN TOY.5E-FE/4E-FE  99-  **fallado** NO PEDIR;NGC:TOWA;TW.;TOYOTA;PZA;FALLADO-NO PEDIR;0,00
6.306;MD-050360-1.00;M113A3/MS-1131;CASQ.BANCADA MIT.4D55/4D56;TAHIO/NDC;JAPON;MITSUBISHI;JGO;0-100-NDC              MS-1131;0,00
6.307;MD-083848-TUF;IMB-0333-TUFF/MD083849;VALVULA IN MIT.4G54  8V. R/R  ok*;NPC/DOKURO;JAPON;MITSUBISHI;JGO;8x46x108                IMB-0333-TUFF;0,00
6.308;MD-083850-TUF;EMB-5333-TUFF;VALVULA EX MIT.4G54 8V. R/R  ok*;NPC;JAPON;MITSUBISHI;JGO;8x38x105.5             EMB-5333-TUFF;0,00
6.309;MD-085253-TUF;MA-44-OT  IMB-0347-TUFF;VALVULA IN MIT.4G64/2.4   8V.   85-;DOKURO;JAPON;MITSUBISHI;JGO;8x45.9x107.5          MA-44-OT/ IMB-0347-TUFF;186,38
6.310;MD-085254-TUF;EMB-5347-TUFF/MIX-44T;VALVULA EX MIT.4G64/6G72  INY.  4PZ-JGO    16V/24V.;NPC/BEN/DOK;JAPON;MITSUBISHI;JGO;8x38x105                EMB-5347-TUF/MIX-44T;186,38
6.311;MD-095266;157R32;CORREA DIST.157D. 4D65/4D56 LANCER CHARIOT  84-91-;HOSHI;TW.;MITSUBISHI;PZA;157Dx32-HOSHI      157R32;0,00
6.312;MD-095266/94243;94.243;CORREA DIST.157D. 4D65/4D56 LANCER CHARIOT  84-91-;DAYCO;ITALY;MITSUBISHI;PZA;157Dx32-DAYCO  94243      157R32;0,00
6.313;MD-099211;MMD-151A;ENGRANAJE CIG.B/ACEITE MIT.4D55/4D56 /H100  (CHICO);TZK/SEA MASTER;JAPON;MITSUBISHI;PZA;MMD-151A;0,00
6.314;MD-100372-025;M8565;PISTON MIT.G63/4G63 II  8V. 90/92  OLD  85MM  1.5X1.5X4  21MM PAS.;TOTO;JAPON;MITSUBISHI;JGO;025                                  M8565;0,00
6.315;MD-100372-050;M8565;PISTON MIT.G63/4G63 II  8V. 90/92  OLD  85MM  1.5X1.5X4  21MM PAS.;NPC/TOTO;JAPON;MITSUBISHI;JGO;050                                 M8565;0,00
6.316;MD-100372-075;M8565;PISTON MIT.G63/4G63 II  8V. 90/92  OLD  85MM  1.5X1.5X4  21MM PAS.;TOTO/NPC;JAPON;MITSUBISHI;JGO;075                                      M8565;0,00
6.317;MD-188988-050;M8652;PISTON MIT.4G64 /NEW  86.5MM  1.2x1.5x3  22MM PAS.  93-96;TOTO;JAPON;MITSUBISHI;JGO;050                        M8652;0,00
6.318;ME-996511;ME-996019-2M-KJ-SL;EMPAQUE MOTOR MIT.4M40-T /MONTERO/TDI   93-;LAN/KAN/NPC/NNP/TOWA;USA;MITSUBISHI;JGO;;0,00
6.319;MD-100372-STD;M8565;PISTON MIT.G63/4G63 II  8V. 90/92  OLD  85MM  1.5X1.5X4  21MM PAS.;NPC/TOTO;JAPON;MITSUBISHI;JGO;STD                                        M8565;0,00
6.320;MR-992374-T;JY2031/TH03027;RODAMIENTO MASERO RUEDA HUB DEL.MIT.L200/TRITON/SPORTERO 07- 4WD 0k***;HASAKI/JOMO;JP;MITSUBISHI;PZA;30DTSx4PERx85x110x6PERx82x152;0,00
6.321;MD-712012;F4213  36x52x10x11;RETEN CAJA MIT.MONTERO 92-;MUSASHI;JAPON;MITSUBISHI;PZA;36x52x10x11    F4213;0,00
6.322;MD-101915;91x111x9       F4185;RETEN CIGÜEÑAL TRAS.MIT.6G72/6G74  V6;MUSASHI;JAPON;MITSUBISHI;PZA;91x111x9                     F4185;0,00
6.323;11213-15020;THR9028;EMPAQUE TAPA VALANCIN TOY.1A/2A/3A/4A/8V.;ERI/TOWA*;TW.;TOYOTA;PZA;THR9028;0,00
6.324;MD-102250;A589R125;CORREA DIST.157D. 4D65/4D56 LANCER CHARIOT  84-91-;SUN;JAPON;MITSUBISHI;PZA;157Dx32-SUN       A589R125;0,00
6.325;MD-104578-KOYO;PU316029RR1DV;RODAMIENTO TESADOR MIT.6G72/12V. 88-97;KOYO;JAPON;MITSUBISHI;PZA;60x32                      PU316029RR1DV;164,94
6.326;48654-16040;48654-10010;BUJE TIJERAL INF.TOY.STARLET/TERCEL/RECTO/METAL T/5K;JAPON;TRC;TOYOTA;PZA;12x30x55                48654-16040;0,00
