Codigo Barra;Codigo Pieza;Especificacion;Descripcion;Repuesto;Procedencia;Marca;Unidad;Medida;Precio Venta
2.385;04479-26040-T;04479-20040;REPARO CALIPER TOY.2L/3L   90-;NAKAM:RV;TW.;TOYOTA;JGO;;0,00
2.386;JPK-150N;32x42x07 TC-H;RETEN CAJA CAMBIO DEL.TOY.2F/3F LAND CRUISER;JPK;JP;TOYOTA;PZA;32x42x07                     JPK-150N;0,00
2.387;13085-4M511-;13085-5M010;GUIA CADENA NIS.QG18DE/QG15DE 92MM HUECO;OSK/ZUIKO;JAPON;NISSAN;PZA;92MM HUECO;0,00
2.388;15103-21020-T;;ENGRANAJE B/ACEITE TOY.1NZ-FE/2NZ-FE  YARIS;NGC:WAKATA;TW.;TOYOTA;PZA;;0,00
2.389;13523-21020-T;;ENGRANAJE A/LEVA TOY.1NZ/2NZ/1ZZ/3ZZ GRANDE;NGC/WAKATA;TW.;TOYOTA;PZA;16x36DTS;0,00
2.390;12204-11040-G;;VALVULA PCV TOY.2E/3E/4E/5E-FE/3F/22R ok*;GENUINO/V/P;ORIGINAL;TOYOTA;PZA;ok*;0,00
2.391;13011-54031-025-TP;35862-2FAC;ANILLAS TOY.L   NEW  90MM  S/C  2x2x4;TP;JAPON;TOYOTA;JGO;025                            35862-2FAC;0,00
2.392;13091-4M500-T;;GUIA CADENA NIS.QG18DE/QG15DE  B15 CURVO-LARGO 260MM;WTB;TW.;NISSAN;PZA;260MM CURVO;0,00
2.393;13011-54030/1-050-RIK;28.860;ANILLAS TOY.L   NEW  90MM  S/C  2x2x4;RIK;JAPON;TOYOTA;JGO;050                            28860;0,00
2.394;13101-21030-025;;PISTON TOY.1NZ-FE 75MM  1.2x1.2x2 PAS.18MM YARIS/PROBOX;TEIKIN/IZUMI/NPC*/TOTO;JAPON;TOYOTA;JGO;25;0,00
2.395;04465-42070;HN-447L/PF-144D862/AN640K;PASTILLA FRENO DEL.TOY.3S/RAV4  02- NOAH 10- NEW;FBK;JAPON;TOYOTA;JGO;9x123x57                HN-447L/PF-144D862/AN640K;0,00
2.396;T034K;;KIT DISTRIBUCION CAD.TOY.1TR-FE /HIACE  120S  SENC.;OSK;JAPON;TOYOTA;JGO;120S   8PZ;1.764,00
2.397;04479-36010-LUCAS;;REPARO CALIPER TOY.3B/2H;LUCAS;JAPON;TOYOTA;JGO;;0,00
2.398;13011-54060-050;SDT10089-NPR;ANILLAS TOY.2L/2L-TE  DIESEL  M/88  92MM  S/C  2xX2x4;NPR;JAPON;TOYOTA;JGO;050-SDT10089-NPR;0,00
2.399;13011-54060-STD;SDT10089-NPR;ANILLAS TOY.2L/2L-TE  DIESEL  M/88  92MM  S/C  2xX2x4;NPR;JAPON;TOYOTA;JGO;STD-SDT10089-NPR;0,00
2.400;13011-54062-STD-G;;ANILLAS TOY.2L/2L-TE  DIESEL  M/88  92MM  S/C  2xX2x4;GENUINO/A;ORIGINAL;TOYOTA;JGO;STD-ORIG.;0,00
2.401;13011-54120-025;SDT10124/28006;ANILLAS TOY.3L  DIESEL  96MM  S/C  2x2x4;NPR/RIK/NPC;JAPON;TOYOTA;JGO;025                   SDT10124/28006;0,00
2.402;13011-54120-050;SDT10124/28006;ANILLAS TOY.3L  DIESEL  96MM  S/C  2x2x4;RIK/NPC/NPR;JAPON;TOYOTA;JGO;050                    SDT10124/28006;0,00
2.403;2.232;;GUARDAPOLVO CREM.CAPUCHON TOY.2E/3E/4A/5A LARGO  MEC.UNIV.;DIING;TW;TOYOTA;PZA;LARGO-CONICO-MECANICO;0,00
2.404;13011-54120-STD;SDT10124 /28006;ANILLAS TOY.3L  DIESEL  96MM  S/C  2x2x4;NPR/RIK/TP/NPC;JAPON;TOYOTA;JGO;STD                       SDT10124/28006 /28006;558,88
2.405;04491-10040;A74K /D180/103820;PASTILLA FRENO DEL.TOY.STARLET KP60   80-;OKAMOTO/UNI;KOREA;TOYOTA;JGO;A74K /13820;0,00
2.406;13011-55010-STD;28.243;ANILLAS TOY.1N/1NT  DIESEL  74MM  S/C  1.5x1.5x3;RIK;JAPON;TOYOTA;JGO;STD                            28243;0,00
2.407;13011-15050-075;SWT10161ZZ-NPR;ANILLAS TOY.5AF  CARB.  78.7MM  1.5x1.5x3;NPR;JAPON;TOYOTA;JGO;075-SWT10161ZZ-NPR;0,00
2.408;13011-56040-025;28.715;ANILLAS TOY.11B/B  NEW  S/C  95MM   2.5X2X4;RIK;JAPON;TOYOTA;JGO;025                              28715;0,00
2.409;04466-12130;HN-519/AN-716WK/PF-1519;PASTILLA FRENO TRAS.TOY.2ZR/ZZE142L COROLLA NEW 06-;TW;TW;TOYOTA;;;0,00
2.410;04466-12130-J;HN-519/AN-716WK/PF-1519;PASTILLA FRENO TRAS.TOY.2ZR/ZZE142L COROLLA NEW 06-;NISSHINBO;JAPON;TOYOTA;;;0,00
2.411;04466-12130-J-FBK;HN-519/AN-716WK/PF-1519;PASTILLA FRENO TRAS.TOY.2ZR/ZZE142L COROLLA NEW 06-;FBK;JAPON;TOYOTA;JGO;9x119.5x46      HN-519;0,00
2.412;13011-57010-025;SJT10084-NPR;ANILLAS TOY.2B/3.2 DIESEL  98MM  S/C  2.526X2.5x4.5;NPR;JAPON;TOYOTA;JGO;025-SJT10084-NPR;0,00
2.413;13011-57010-STD;SJT10084- NPR;ANILLAS TOY.2B/3.2 DIESEL  98MM  S/C  2.526X2.5x4.5;NPR;JAPON;TOYOTA;JGO;STD-SJT10084-NPR;0,00
2.414;13011-58010-025;SJT10087-NPR;ANILLAS TOY.3B/3.4 DIESEL 102MM  S/C  2.5x2.5x4.5;NPR;JAPON;TOYOTA;JGO;025-SJT10087-NPR;0,00
2.415;13011-58010-075;SJT10087;ANILLAS TOY.3B/3.4 DIESEL 102MM  S/C  2.5x2.5x4.5;NPR;JAPON;TOYOTA;JGO;075                     SJT10087;0,00
2.416;13011-58010-STD;SJT10087-NPR;ANILLAS TOY.3B/3.4 DIESEL 102MM  S/C  2.5x2.5x4.5;NPR;JAPON;TOYOTA;JGO;STD-SJT10087-NPR;0,00
2.417;2.268;;PASTILLA FRENO DEL.TOY.3S CELICA CORONA;TW;TW;TOYOTA;JGO;11x119x51.5;0,00
2.418;48521-7S000;SR-N440;ROTULA CREMALLERA NIS.ARMADA/TITAN   03-12     ok*;555;JAPON;NISSAN;PZA;;0,00
2.419;11310-31013-T;YSK-TA1400;BOMBA ACEITE TOY.1GRFE/PRADO/4RUNNER C/CARCAZA;YSK;JP;TOYOTA;PZA;YSK-TA1400;0,00
2.420;13011-58030-025;STD10136-NPR;ANILLAS TOY.13B/3.4 DIESEL 102MM  2.5x2.5x4.5;NPR;JAPON;TOYOTA;JGO;025-STD10136-NPR;0,00
